1,652100,592000
2,1300,700
3,900,800
4,1400,1200
5,600,800
6,900,800
7,700,800
8,800,800
9,900,900
10,900,1000
11,1100,2400
12,1000,1100
13,1100,1400
14,2900,4000
15,1200,3400
16,1100,1600
17,1100,1500
18,1000,1600
19,1000,1800
20,1000,1600
21,1200,1900
22,1100,2800
23,1300,1900
24,1300,2000
25,1400,1900
26,1100,2300
27,1400,10800
28,1300,2100
29,1300,4700
30,1400,2200
31,1900,3400
32,1400,5300
33,5200,5600
34,1600,2800
35,1300,2600
36,1500,8200
37,1400,700
38,1500,900
39,1500,700
40,1800,700
41,1400,600
42,1500,700
43,2500,700
44,1600,700
45,7500,800
46,1600,700
47,1700,800
48,1500,800
49,1800,700
50,2700,700
51,1700,700
52,3000,800
53,1800,700
54,1700,800
55,1900,800
56,2600,1000
57,2100,1000
58,2000,1300
59,3500,800
60,1900,900
61,2000,2100
62,2500,900
63,2200,900
64,8600,1500
65,2200,1000
66,6300,1300
67,9300,1500
68,5300,900
69,11500,1000
70,2300,1000
71,4000,1000
72,2200,1100
73,7500,1500
74,1800,800
75,1700,600
76,1500,600
77,1500,700
78,3900,700
79,1600,800
80,1500,800
81,1600,700
82,1600,700
83,2100,2200
84,2300,1100
85,2500,900
86,2300,1000
87,1900,700
88,1800,800
89,1800,800
90,1700,700
91,3500,800
92,2700,1100
93,2300,3500
94,1900,900
95,1800,1000
96,1800,800
97,1800,800
98,1800,900
99,1800,900
100,2000,1100
101,3500,900
102,1900,900
103,2000,900
104,2100,11500
105,3300,1400
106,3000,1400
107,3300,1400
108,3000,1300
109,2900,1400
110,2900,1300
111,6100,1500
112,4400,1800
113,4800,2000
114,3900,1400
115,3200,1400
116,3100,1400
117,3000,1500
118,3000,1400
119,3300,1400
120,6400,1500
121,4200,1600
122,3700,1700
123,4200,1900
124,3400,1700
125,3400,3500
126,3500,1600
127,3500,1600
128,8400,1800
129,4000,9700
130,3300,800
131,3500,900
132,3700,1000
133,3500,800
134,3500,1400
135,4100,1000
136,7000,800
137,3200,700
138,3700,900
139,3700,800
140,4400,1100
141,3500,1200
142,4400,1200
143,6800,1000
144,3500,900
145,3500,900
146,3600,1100
147,3700,900
148,3800,900
149,3900,900
150,6200,1100
151,3900,900
152,3900,900
153,3900,900
154,3800,1000
155,3900,900
156,3800,900
157,8100,2200
158,3700,1000
159,4700,900
160,3700,900
161,4100,1000
162,4200,1000
163,6900,1100
164,4900,1300
165,6700,1000
166,4900,1100
167,4000,900
168,5100,1400
169,7300,1600
170,4800,1200
171,4200,1600
172,4800,1100
173,4900,1300
174,4900,1200
175,6600,1200
176,5000,1300
177,5000,1200
178,4600,1200
179,4400,1300
180,4700,1400
181,6500,1500
182,5100,1400
183,5100,1000
184,5000,1200
185,5000,1300
186,7000,1800
187,11000,1600
188,4700,1200
189,4300,2100
190,4100,1000
191,4300,1000
192,6200,1000
193,6000,1500
194,5200,1200
195,5300,1300
196,5300,1100
197,8300,1000
198,4900,1100
199,4900,1200
200,4900,1300
201,5000,1100
202,16200,1200
203,6800,1100
204,9500,1100
205,6600,1000
206,3800,1000
207,5700,900
208,3200,900
209,3000,900
210,3200,900
211,3400,900
212,4300,900
213,3100,900
214,3400,1000
215,3100,1000
216,3200,900
217,4500,1000
218,3300,1100
219,3300,900
220,3300,900
221,3300,2100
222,4300,1000
223,3600,1300
224,3600,1000
225,3300,900
226,10400,1400
227,5900,1300
228,6000,1400
229,5800,1400
230,4800,1300
231,9000,1400
232,4000,1200
233,3600,1000
234,3500,1000
235,8800,1500
236,6200,1300
237,5900,1400
238,5900,1400
239,8900,1400
240,5300,2200
241,6800,1400
242,6100,1900
243,5200,2300
244,10000,1400
245,5900,1500
246,6000,1400
247,5600,1400
248,11100,1600
249,7000,1600
250,5900,1400
251,8700,1400
252,7400,1300
